Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
T501925005,فیلا,6,6,300,980000,جنوب,بدر,مؤسسة غزالة للخدمات العقارية
G622333075,دور,6,5,500,1249000,شرق,الخليج,شركة سياد للاستثمار
L472435811,دور,5,4,523,1650000,شرق,الريان,شركة سياد للاستثمار
G066192381,دور,4,3,3098,1350000,وسط,الربوة,مساكن ركاز للعقارات
B566435343,دور,3,3,500,800000,غرب,شبرا,شركة نجمة التميز للعقارات
S442527647,فیلا,5,5,500,3500000,شرق,الملز,مؤسسة سعود علي عبدالعزيز السقامي للعقارات
T586702253,عمارة,11,11,1200,5500000,غرب,الجرادية,شركة الوديان العربيه للتطوير العقاري
T771872957,شقة,3,3,893,590000,غرب,ظهرة لبن,شركة صروح السعودية للتطوير والاستثمار العقاري
L680464272,دور,4,6,540,1450000,شرق,المونسية,مؤسسة وسام المساكن العقارية
J275107714,فیلا,3,4,312,1000000,غرب,العريجاء,شركة أختصاصي الأول للعقارات
W237753130,دور,8,2,103,280000,وسط,المرقب,مكتب خالد تركي العصيمي للعقارات
D089444658,دور,4,4,3098,1450000,وسط,الربوة,مساكن ركاز للعقارات
E273062078,شقة,4,3,3098,1100000,وسط,الربوة,مساكن ركاز للعقارات
A724019977,دور,4,4,214,760000,جنوب,بدر,شركة نجمة التميز للعقارات
A689471085,شقة,3,3,131,430000,جنوب,بدر,شركة نجمة التميز للعقارات
L866650018,شقة,3,3,131,420000,جنوب,الدار البيضاء,شركة نجمة التميز للعقارات
D266817233,شقة,3,3,125,880000,شمال,العارض,مكتب بدر حمد الموسى للعقارات
Y307883251,دور,3,5,540,1300000,شرق,المونسية,مؤسسة وسام المساكن العقارية
X341668579,فیلا,5,6,440,4200000,شمال,الربيع,مكتب غربي النخيل للعقارات
B089101864,دور,4,3,500,860000,غرب,شبرا,شركة نجمة التميز للعقارات
X403241518,دور,3,4,500,860000,غرب,شبرا,شركة نجمة التميز للعقارات
S001619488,فیلا,5,3,359,2400000,غرب,المهدية,مكتب وسيط المسعد للعقارات
I403364540,دور,3,3,191,1000000,شرق,الرمال,شركة إثراء الأولى العقارية
B506920439,دور,4,3,390,1750000,شمال,النرجس,شركة إثراء الأولى العقارية
N608778655,شقة,4,3,144,1160000,شمال,النرجس,شركة إثراء الأولى العقارية
B603367921,شقة,3,3,113,950000,شمال,النرجس,مؤسسة ودود العقارية
T346946457,فیلا,5,4,400,3500000,غرب,المهدية,عبدالملك بن سليمان بن عبدالله اليوسف
W680818240,شقة,3,3,163,530000,جنوب,عكاظ,شركة نجمة التميز للعقارات
